GameName,ProfileExists,MappedRuleType
"Klondike",True,KlondikeRules
"Spider",True,SpiderRules
"FreeCell",True,FreeCellRules
"Pyramid",True,MatchingSolitaireRules
"TriPeaks",True,MatchingSolitaireRules
"Golf",True,MatchingSolitaireRules
"Canfield",True,StandardSolitaireRules
"Yukon",True,StandardSolitaireRules
"Scorpion",True,StandardSolitaireRules
"Forty Thieves",True,StandardSolitaireRules
"Eight Off",True,StandardSolitaireRules
"Baker's Game",True,StandardSolitaireRules
"Aces Up",True,MatchingSolitaireRules
"Calculation",False,StandardSolitaireRules
"Accordion",True,AccordionRules
"Cruel",False,StandardSolitaireRules
"Clock Solitaire",False,StandardSolitaireRules
"La Belle Lucie",False,StandardSolitaireRules
"Monte Carlo",True,MatchingSolitaireRules
"Penguin",False,StandardSolitaireRules
"Russian Solitaire",True,StandardSolitaireRules
"Alaska",True,StandardSolitaireRules
"Westcliff",False,StandardSolitaireRules
"Sir Tommy",False,StandardSolitaireRules
"Seahaven Towers",True,StandardSolitaireRules
"Bisley",False,StandardSolitaireRules
"Double Klondike",True,StandardSolitaireRules
"Triple Klondike",True,StandardSolitaireRules
"Beleaguered Castle",True,StandardSolitaireRules
"Flower Garden",True,StandardSolitaireRules
"Streets and Alleys",True,StandardSolitaireRules
"Demon",False,StandardSolitaireRules
"Josephine",False,StandardSolitaireRules
"Limited",False,StandardSolitaireRules
"Royal Cotillion",False,StandardSolitaireRules
"Nestor",False,StandardSolitaireRules
"Gaps",False,StandardSolitaireRules
"Montana",False,StandardSolitaireRules
"Four Seasons",False,StandardSolitaireRules
"Windmill",False,StandardSolitaireRules
"Napoleon at St Helena",False,StandardSolitaireRules
"Simple Simon",False,StandardSolitaireRules
"Rouge et Noir",False,StandardSolitaireRules
"Busy Aces",False,StandardSolitaireRules
"Good Measure",False,StandardSolitaireRules
"Grandfather",False,StandardSolitaireRules
"Grandmother",False,StandardSolitaireRules
"Agnes",False,StandardSolitaireRules
"Double Canfield",False,StandardSolitaireRules
"Little Spider",False,StandardSolitaireRules
"Spiderette",True,SpiderRules
"Wasp",False,StandardSolitaireRules
"Will o' the Wisp",False,StandardSolitaireRules
"Black Hole",False,StandardSolitaireRules
"Eliminator",False,StandardSolitaireRules
"Aunt Mary",False,StandardSolitaireRules
"Alternations",False,StandardSolitaireRules
"Bristol",False,StandardSolitaireRules
"Capricieuse",False,StandardSolitaireRules
"Colorado",False,StandardSolitaireRules
"Congress",False,StandardSolitaireRules
"Diplomat",False,StandardSolitaireRules
"Easthaven",False,StandardSolitaireRules
"Fortress",False,StandardSolitaireRules
"Fourteen Out",True,MatchingSolitaireRules
"Kings in the Corner Solitaire",False,StandardSolitaireRules
"Labyrinth",False,StandardSolitaireRules
"Lady Jane",False,StandardSolitaireRules
"Martha",False,StandardSolitaireRules
"Miss Milligan",False,StandardSolitaireRules
"Osmosis",False,StandardSolitaireRules
"Peek",False,StandardSolitaireRules
"Queen of Italy",False,StandardSolitaireRules
"Rank and File",False,StandardSolitaireRules
"Red and Black",False,StandardSolitaireRules
"Royal Marriage",False,StandardSolitaireRules
"Somerset",False,StandardSolitaireRules
"Spanish Patience",False,StandardSolitaireRules
"Thieves of Egypt",False,StandardSolitaireRules
"Trefoil",False,StandardSolitaireRules
"Virginia Reel",False,StandardSolitaireRules
"Whitehead",False,StandardSolitaireRules
"Zodiac",False,StandardSolitaireRules
"Acey and Kingsley",False,StandardSolitaireRules
"Strategy",False,StandardSolitaireRules
"Double Yukon",False,StandardSolitaireRules
"Australian Patience",True,StandardSolitaireRules
"Batsford",False,StandardSolitaireRules
"Carlton",False,StandardSolitaireRules
